id	Amplitude	ContamPct	KSLabel	amplitude	channel	depth	firing_rate	group	n_spikes	shank
199	41.60000000	3.80000000	good	2.77834725	95	960.00000000	1.6 spk/s		9349	0
200	42.60000000	100.00000000	mua	2.93675041	96	980.00000000	1.5 spk/s		9291	0
201	70.30000000	1.50000000	good	3.29255605	97	980.00000000	4.3 spk/s		26052	0
202	44.90000000	2.20000000	good	2.92212772	97	980.00000000	2.4 spk/s		14188	0
203	44.10000000	1.20000000	good	2.16023564	99	1000.00000000	5.3 spk/s		31999	0
204	40.90000000	1.90000000	good	2.71853185	97	980.00000000	2.7 spk/s		16144	0
205	75.20000000	100.00000000	mua	4.32851505	98	1000.00000000	3.1 spk/s		18961	0
206	79.90000000	100.00000000	mua	3.57413435	98	1000.00000000	0.8 spk/s		5102	0
207	48.50000000	100.00000000	mua	3.56996512	98	1000.00000000	7.2 spk/s		43689	0
208	41.70000000	100.00000000	mua	3.39011574	98	1000.00000000	4.3 spk/s		25767	0
209	50.00000000	100.00000000	mua	4.02453423	98	1000.00000000	4.2 spk/s		25419	0
210	44.50000000	100.00000000	mua	3.47426033	98	1000.00000000	4.4 spk/s		26537	0
211	49.70000000	100.00000000	mua	3.71497774	98	1000.00000000	2.7 spk/s		16243	0
212	63.50000000	9.40000000	good	2.84593773	99	1000.00000000	1.0 spk/s		5817	0
213	86.20000000	0.00000000	good	2.86972213	101	1020.00000000	1.2 spk/s		7108	0
214	56.90000000	100.00000000	mua	3.75396633	100	1020.00000000	5.7 spk/s		34100	0
215	34.30000000	7.90000000	good	2.69668913	100	1020.00000000	7.8 spk/s		46854	0
216	48.40000000	5.00000000	good	3.71945047	100	1020.00000000	7.1 spk/s		42537	0
217	32.60000000	100.00000000	mua	2.64574528	100	1020.00000000	2.8 spk/s		16832	0
